Descripción (100c),Categoria,Actividad,Precio USD (desde),Precio MXN (aprox),Link GYG (afiliado),Imagen principal,Imagen_2,Imagen_3,Imagen_4,Descripción larga (~500c)
Mirador y muelle hacia aguas poco profundas y ojo central.,Cenotes & Lagoons,Laguna Kaan Luum: entrada,137,2534.5,https://www.getyourguide.com/tulum-l248/tulum-kaan-luum-lagoon-3-cenotes-adventure-t751044/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Mirador y muelle hacia aguas poco profundas y ojo central. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"Estuario con peces tropicales, ideal para principiantes.",Snorkel & Reef,Yal-Kú: snorkel laguna,81,1498.5,https://www.getyourguide.com/akumal-l2807/from-tulum-yal-ku-lagoon-and-turtle-observation-tour-t832301/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/d1a32888cdfe62a2c31b1f79d735a604f16d5e2457cc3ad816987893f4af12b3.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/a3a7d636f3fea177ec1e5a776b8a2d1870a60acb9d5d27a7a44a26a9f6b8ae91.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/aa758e83a2517233e4245e1ebfb3ca8dd322afb4ec4a74500ba8ef797664a8f5.jpg","https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=450,height=450,dpr=2/tour_img/f1884e01395af4bb3eed417ee0578f69378ce69a2ae2011fe2218bea99694d29.jpeg","Estuario con peces tropicales, ideal para principiantes. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Paseo escénico con bar abierto y parada de snorkel.,Catamaran,Catamarán Premium Riviera Maya,149,2756.5,https://www.getyourguide.com/tulum-l248/tulum-half-day-luxury-sailing-experience-open-bar-t486480/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab70608e0d3.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ac3fe4ab029.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/64ab716b66be8.jpeg",Paseo escénico con bar abierto y parada de snorkel. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Sistema de ríos cristalinos con guía espeleólogo.,Cenotes & Lagoons,Rio Secreto: cuevas y río subterráneo,89,1646.5,https://www.getyourguide.com/playa-del-carmen-l308/admission-only-to-rio-secreto-t37315/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b6cc7d2dea6e6fc9b9f596168245a3f0ee4ea5defce1b1f133d293c85383fc58.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/5034518b8a2496db484dbd2cade707a7acb15f4036887c8ec1c06b3b96e4ab27.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/2ffef58a3b396527196249ba49c83c870483e3a2098742815ae9edc79e25861d.jpeg",Sistema de ríos cristalinos con guía espeleólogo. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Parque eco-arqueológico con ríos subterráneos y shows.,Parks,Xcaret Park: entrada,165,3052.5,https://www.getyourguide.com/cancun-l150/from-cancun-complete-combo-to-xcaret-park-t980056/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Parque eco-arqueológico con ríos subterráneos y shows. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Parque acuático natural con snorkel ilimitado y comida.,Parks,Xel-Há: entrada todo incluido,143,2645.5,https://www.getyourguide.com/cancun-l150/from-cancun-xel-ha-all-inclusive-park-t975755/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Parque acuático natural con snorkel ilimitado y comida. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"Tirolesas, ríos subterráneos y vehículos anfibios nocturnos.",Parks,Xplor / Xplor Fuego,187,3459.5,https://www.getyourguide.com/playa-del-carmen-l308/from-playa-del-carmen-xplor-park-admission-full-day-t978306/?partner_id=EBGURF8&cmp=tulumtkts&lc=l45,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","Tirolesas, ríos subterráneos y vehículos anfibios nocturnos. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Recorre sacbés en bici o bicitaxi; arqueología en selva.,Ruins & Archaeology,Coba: ruinas + bicicleta,175,3237.5,https://www.getyourguide.com/tulum-l248/from-tulum-coba-ruins-and-cenote-swim-tour-t529582/?partner_id=EBGURF8&cmp=tulumtkts&lc=l45,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Recorre sacbés en bici o bicitaxi; arqueología en selva. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
Acrópolis monumental y nado en cenote cercano.,Ruins & Archaeology,Ek Balam + cenote Xcanché,140,2590,https://www.getyourguide.com/chichen-itza-l785/chichen-itza-and-ek-balam-ruins-cenote-with-lunch-tour-t599923/?partner_id=EBGURF8&cmp=tulumtkts&lc=l45,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Acrópolis monumental y nado en cenote cercano. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
"City tour en bici por playas, arte y spots foodie.",City & Food,Tulum Bike Tour,95,1757.5,https://www.getyourguide.com/tulum-l248/tulum-guided-bike-tour-ruins-tacos-and-cenote-t150560/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png","City tour en bici por playas, arte y spots foodie. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día."
Ruta de tacos y mezcales con guía local.,City & Food,Street Food & Mezcal,35,647.5,https://www.getyourguide.com/tulum-l248/tulum-taco-tour-t628200/?partner_id=EBGURF8&cmp=tulumtkts,"https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/040b67511d57d3ab541d9e3cae988cfa8e1a24d1314da47630a1ebc58c478176.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/52f7e02f7c651b04fd2fe4dd04b65cd2ee32b3fd8d9a1a935206cbec54c6113a.jpg","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/b8ccc495509a774c00eb0b3a8ac81ba734bcbf0f53c1bca23f25f894d32f9a97.png","https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db5a58700df3d58d68965dfb2b972efc42ceb9520e9e2b043d667fed394a1c70.png",Ruta de tacos y mezcales con guía local. Incluye guía/briefing de seguridad y opciones para fotos. Reserva anticipada recomendada en temporada alta. Ideal para combinar con playa o gastronomía en el mismo día.
